날짜,가격_만원,전용면적_㎡,행정구역,단가_만원_per_㎡
2023-01-02,9400,40.2,제주시,233.83084577114425
2023-01-02,26200,84.7,제주시,309.32703659976386
2023-01-02,50000,84.3616,제주시,592.6867200242765
2023-01-02,12900,30.425,제주시,423.99342645850453
2023-01-03,18800,59.86,제주시,314.06615436017375
2023-01-03,28000,84.387,서귀포시,331.8046618554991
2023-01-03,34500,84.7081,서귀포시,407.28100382371935
2023-01-03,18800,59.86,제주시,314.06615436017375
2023-01-04,27500,60.23,제주시,456.5830981238586
2023-01-04,35000,84.65,제주시,413.4672179562906
2023-01-04,21000,46.74,제주시,449.29396662387677
2023-01-04,33000,84.6,애월읍,390.07092198581563
2023-01-04,22000,73.42,제주시,299.645873059112
2023-01-04,26500,78.68,제주시,336.80732079308586
2023-01-05,13900,84.55,제주시,164.39976345357778
2023-01-05,16000,39.69,서귀포시,403.1242126480222
2023-01-06,22000,46.68,서귀포시,471.2939160239931
2023-01-06,57000,39.69,제주시,1436.130007558579
2023-01-06,50000,84.9297,서귀포시,588.7222020094266
2023-01-07,36500,84.3708,서귀포시,432.614127162478
2023-01-07,22500,51.88,서귀포시,433.69313801079414
2023-01-07,11000,59.08,제주시,186.18821936357483
2023-01-07,40500,84.82,애월읍,477.481726008017
2023-01-09,16100,58.2203,제주시,276.5358474621395
2023-01-09,27500,65.865,서귀포시,417.52068625218254
2023-01-09,21000,79.0877,제주시,265.52801510222196
2023-01-09,19500,67.04,제주시,290.8711217183771
2023-01-09,17000,58.16,제주시,292.2971114167813
2023-01-09,8164,35.94,서귀포시,227.15637173066222
2023-01-09,25800,59.97,서귀포시,430.2151075537769
2023-01-10,16900,73.2642,서귀포시,230.67200624588816
2023-01-10,18800,39.69,서귀포시,473.6709498614261
2023-01-10,16800,34.7519,제주시,483.4268054408536
2023-01-10,16900,84.93,서귀포시,198.98740138937947
2023-01-10,14200,69.69,제주시,203.75950638542116
2023-01-10,48700,84.6,제주시,575.6501182033097
2023-01-10,11500,39.89,제주시,288.2928052143394
2023-01-11,20000,46.74,제주시,427.89901583226356
2023-01-11,19400,39.3,서귀포시,493.63867684478373
2023-01-11,27000,83.58,서귀포시,323.0437903804738
