날짜,가격_만원
2023-01-02,9400
2023-01-02,26200
2023-01-02,50000
2023-01-02,12900
2023-01-03,18800
2023-01-03,28000
2023-01-03,34500
2023-01-03,18800
2023-01-04,27500
2023-01-04,35000
2023-01-04,21000
2023-01-04,33000
2023-01-04,22000
2023-01-04,26500
2023-01-05,13900
2023-01-05,16000
2023-01-06,22000
2023-01-06,57000
2023-01-06,50000
2023-01-07,36500
2023-01-07,22500
2023-01-07,11000
2023-01-07,40500
2023-01-09,16100
2023-01-09,27500
2023-01-09,21000
2023-01-09,19500
2023-01-09,17000
2023-01-09,8164
2023-01-09,25800
2023-01-10,16900
2023-01-10,18800
2023-01-10,16800
2023-01-10,16900
2023-01-10,14200
2023-01-10,48700
2023-01-10,11500
2023-01-11,20000
2023-01-11,19400
2023-01-11,27000
2023-01-11,25300
2023-01-12,17700
2023-01-12,29200
2023-01-12,38100
2023-01-12,18000
2023-01-12,10000
2023-01-12,46000
2023-01-13,30000
2023-01-13,17200
2023-01-13,36000
2023-01-13,8000
2023-01-13,26000
2023-01-14,17500
2023-01-14,36000
2023-01-14,31400
2023-01-15,33500
2023-01-15,25600
2023-01-16,13000
2023-01-16,29300
2023-01-16,11500
2023-01-16,17500
2023-01-16,14000
2023-01-17,18500
2023-01-17,25000
2023-01-17,42500
2023-01-17,7100
2023-01-17,22500
2023-01-17,37800
2023-01-17,7000
2023-01-17,23500
2023-01-17,7100
2023-01-18,35000
2023-01-18,29000
2023-01-18,32000
2023-01-18,24000
2023-01-18,12400
2023-01-18,5900
2023-01-18,27500
2023-01-18,25850
2023-01-19,20500
2023-01-19,34500
2023-01-20,25500
2023-01-20,26500
2023-01-20,18500
2023-01-20,70000
2023-01-20,50000
2023-01-20,70200
2023-01-24,30000
2023-01-25,6500
2023-01-25,28000
2023-01-25,32000
2023-01-25,116000
2023-01-26,13500
2023-01-26,22500
2023-01-26,70000
2023-01-26,49000
2023-01-26,35500
2023-01-26,39200
2023-01-26,36000
2023-01-27,39000
2023-01-27,31000
2023-01-27,21400
2023-01-27,14000
2023-01-27,36000
2023-01-27,25000
2023-01-27,43500
2023-01-27,18000
2023-01-27,27500
2023-01-27,40000
2023-01-28,69500
2023-01-28,38500
2023-01-28,64500
2023-01-28,37300
2023-01-28,5600
2023-01-28,59500
2023-01-28,24800
2023-01-29,33500
2023-01-30,27000
2023-01-30,28000
2023-01-30,40000
2023-01-30,28000
2023-01-30,28000
2023-01-30,11000
2023-01-30,17500
2023-01-30,36500
2023-01-30,43500
2023-01-30,27500
2023-01-30,35400
2023-01-31,26200
2023-01-31,44000
2023-01-31,7200
2023-01-31,35800
2023-01-31,22000
2023-01-31,46500
2023-01-31,21000
2023-01-31,27000
2023-01-31,114000
2023-01-31,39000
2023-01-31,13000
2023-02-01,20850
