날짜,년,월,도시,행정구역,단지명,전용면적_㎡,층,건축년도,경과년수,거래유형,거래금액_만원,만원_per_㎡
2023-01-02,2023,1,제주시,일도이동,삼부장미주상,40.2,5,2004,19.0,중개거래,9400,233.83084577114425
2023-01-02,2023,1,제주시,이도이동,태성리치빌,84.7,7,2004,19.0,직거래,26200,309.32703659976386
2023-01-02,2023,1,제주시,삼양이동,제주삼화사랑으로부영5차,84.3616,4,2013,10.0,중개거래,50000,592.6867200242765
2023-01-02,2023,1,제주시,삼양이동,삼양더힐링빌,30.425,7,2016,7.0,중개거래,12900,423.99342645850453
2023-01-03,2023,1,제주시,노형동,노형영진1차,59.86,6,1995,28.0,중개거래,18800,314.06615436017375
2023-01-03,2023,1,서귀포시,서귀동,더힐누리안,84.387,3,2016,7.0,직거래,28000,331.8046618554991
2023-01-03,2023,1,서귀포시,동홍동,캐슬휘닉스,84.7081,2,2007,16.0,중개거래,34500,407.28100382371935
2023-01-03,2023,1,제주시,노형동,노형영진1차,59.86,6,1995,28.0,직거래,18800,314.06615436017375
2023-01-04,2023,1,제주시,삼도일동,골든타워2차,60.23,8,2018,5.0,중개거래,27500,456.5830981238586
2023-01-04,2023,1,제주시,노형동,지산11차위더스빌,84.65,7,2005,18.0,중개거래,35000,413.4672179562906
2023-01-04,2023,1,제주시,외도일동,해밀마루,46.74,8,2019,4.0,직거래,21000,449.29396662387677
2023-01-04,2023,1,제주시,애월읍,기룡비치하임,84.6,6,2016,7.0,직거래,33000,390.07092198581563
2023-01-04,2023,1,제주시,조천읍,함덕비치빌,73.42,2,2017,6.0,중개거래,22000,299.645873059112
2023-01-04,2023,1,제주시,삼도이동,모다세인트빌,78.68,2,2020,3.0,중개거래,26500,336.80732079308586
2023-01-05,2023,1,제주시,연동,정광쉐르빌,84.55,3,2005,18.0,직거래,13900,164.39976345357778
2023-01-05,2023,1,서귀포시,동홍동,주공1,39.69,5,1988,35.0,중개거래,16000,403.1242126480222
2023-01-06,2023,1,서귀포시,동홍동,주공1,46.68,4,1988,35.0,중개거래,22000,471.2939160239931
2023-01-06,2023,1,제주시,이도이동,주공3,39.69,2,1989,34.0,직거래,57000,1436.130007558579
2023-01-06,2023,1,서귀포시,강정동,서귀포강정지구3블럭중흥에스-클래스,84.9297,6,2016,7.0,중개거래,50000,588.7222020094266
2023-01-07,2023,1,서귀포시,서홍동,지오빌Ⅱ-2차,84.3708,7,2013,10.0,중개거래,36500,432.614127162478
2023-01-07,2023,1,서귀포시,중문동,중문푸른마을,51.88,2,2003,20.0,중개거래,22500,433.69313801079414
2023-01-07,2023,1,제주시,화북일동,삼부,59.08,4,1992,31.0,중개거래,11000,186.18821936357483
2023-01-07,2023,1,제주시,애월읍,제주하귀휴먼시아1단지,84.82,3,2010,13.0,중개거래,40500,477.481726008017
2023-01-09,2023,1,제주시,도련일동,미듬하나로(도련),58.2203,1,2002,21.0,중개거래,16100,276.5358474621395
2023-01-09,2023,1,서귀포시,중문동,상지타운(B동),65.865,3,2013,10.0,중개거래,27500,417.52068625218254
2023-01-09,2023,1,제주시,건입동,흥남한아름,79.0877,4,2003,20.0,중개거래,21000,265.52801510222196
2023-01-09,2023,1,제주시,노형동,세기3차,67.04,1,1994,29.0,중개거래,19500,290.8711217183771
2023-01-09,2023,1,제주시,연동,삼오한마음,58.16,3,1995,28.0,중개거래,17000,292.2971114167813
2023-01-09,2023,1,서귀포시,서홍동,서홍반석타운,35.94,3,2000,23.0,중개거래,8164,227.15637173066222
2023-01-09,2023,1,서귀포시,중문동,중문푸른마을,59.97,4,2003,20.0,중개거래,25800,430.2151075537769
2023-01-10,2023,1,서귀포시,동홍동,동홍반석아르미,73.2642,2,2003,20.0,중개거래,16900,230.67200624588816
2023-01-10,2023,1,서귀포시,동홍동,주공2(동홍2),39.69,5,1990,33.0,중개거래,18800,473.6709498614261
2023-01-10,2023,1,제주시,이도이동,영도갤럭시타운,34.7519,8,2017,6.0,중개거래,16800,483.4268054408536
2023-01-10,2023,1,서귀포시,동홍동,세기1(가나동),84.93,5,1990,33.0,중개거래,16900,198.98740138937947
2023-01-10,2023,1,제주시,화북일동,남양,69.69,4,1991,32.0,중개거래,14200,203.75950638542116
2023-01-10,2023,1,제주시,화북일동,화북주공1단지,84.6,6,1998,25.0,중개거래,48700,575.6501182033097
2023-01-10,2023,1,제주시,도남동,수선화(81-7),39.89,4,1993,30.0,중개거래,11500,288.2928052143394
2023-01-11,2023,1,제주시,외도일동,해밀마루,46.74,6,2019,4.0,직거래,20000,427.89901583226356
2023-01-11,2023,1,서귀포시,동홍동,주공2(동홍2),39.3,5,1990,33.0,중개거래,19400,493.63867684478373
2023-01-11,2023,1,서귀포시,서홍동,서홍예가,83.58,4,2017,6.0,직거래,27000,323.0437903804738
2023-01-11,2023,1,서귀포시,동홍동,금강라이프빌2차,84.94,6,2013,10.0,중개거래,25300,297.8573110430892
2023-01-12,2023,1,제주시,한림읍,성우스위트,84.82,3,2006,17.0,중개거래,17700,208.6771987738741
2023-01-12,2023,1,제주시,봉개동,봉개갤럭시타운2차,77.3462,5,2016,7.0,중개거래,29200,377.5233948144835
2023-01-12,2023,1,제주시,외도일동,더펠리스10차,69.0372,10,2023,0.0,중개거래,38100,551.8763796909492
2023-01-12,2023,1,제주시,연동,아모르빌3차,84.52,4,2004,19.0,중개거래,18000,212.9673450070989
2023-01-12,2023,1,제주시,삼양이동,삼양대일(가동나동),61.74,3,1992,31.0,중개거래,10000,161.96954972465176
2023-01-12,2023,1,서귀포시,강정동,서귀포강정골드클래스,84.9789,5,2017,6.0,중개거래,46000,541.3108430445676
2023-01-13,2023,1,서귀포시,안덕면,서귀포화순코아루푸르나임,84.9455,3,2017,6.0,중개거래,30000,353.16761923821747
2023-01-13,2023,1,제주시,노형동,유나이티드,42.75,4,1984,39.0,중개거래,17200,402.3391812865497
2023-01-13,2023,1,서귀포시,동홍동,동홍위더스빌31차,82.01,5,2019,4.0,중개거래,36000,438.970857212535
2023-01-13,2023,1,제주시,건입동,해미소,31.29,5,2014,9.0,직거래,8000,255.6727388942154
2023-01-13,2023,1,제주시,연동,장원프라자,84.7421,2,2002,21.0,직거래,26000,306.8132604691175
2023-01-14,2023,1,서귀포시,동홍동,주공2(동홍2),39.69,5,1990,33.0,중개거래,17500,440.9171075837743
2023-01-14,2023,1,제주시,도련일동,도련영도갤럭시타운,84.5939,3,2020,3.0,직거래,36000,425.5625996673519
2023-01-14,2023,1,서귀포시,동홍동,포스트동홍1차,84.9905,7,2019,4.0,중개거래,31400,369.45305651808144
2023-01-15,2023,1,제주시,조천읍,라스위트,84.99,2,2017,6.0,중개거래,33500,394.16401929638783
2023-01-15,2023,1,제주시,용담삼동,용담이타스,84.64,5,2012,11.0,중개거래,25600,302.45746691871454
2023-01-16,2023,1,서귀포시,남원읍,남원에덴아파트,60.0,4,1996,27.0,중개거래,13000,216.66666666666666
2023-01-16,2023,1,제주시,조천읍,에스디빌101동,84.42,6,2016,7.0,중개거래,29300,347.0741530443023
2023-01-16,2023,1,서귀포시,하원동,서진,49.8737,3,2002,21.0,중개거래,11500,230.58245127191284
2023-01-16,2023,1,제주시,한림읍,남건휴먼스3차,59.975,7,2015,8.0,중개거래,17500,291.78824510212587
2023-01-16,2023,1,제주시,노형동,미화2차,46.2,1,1995,28.0,직거래,14000,303.030303030303
2023-01-17,2023,1,서귀포시,동홍동,주공1,39.69,1,1988,35.0,직거래,18500,466.11237087427565
2023-01-17,2023,1,제주시,삼도일동,신산스카이빌,83.29,3,2006,17.0,중개거래,25000,300.1560811622043
2023-01-17,2023,1,제주시,일도이동,일도2차대림,77.02,2,1995,28.0,중개거래,42500,551.8047260451831
2023-01-17,2023,1,서귀포시,동홍동,센트럴팰리스,14.74,6,2018,5.0,중개거래,7100,481.6824966078697
2023-01-17,2023,1,서귀포시,중문동,중문푸른마을,59.99,5,2003,20.0,중개거래,22500,375.06251041840306
2023-01-17,2023,1,제주시,화북일동,"화북주공2,3단지",59.93,6,1998,25.0,중개거래,37800,630.7358585015852
2023-01-17,2023,1,서귀포시,동홍동,남양맨숀(A동),49.29,3,1987,36.0,중개거래,7000,142.01663623453032
2023-01-17,2023,1,제주시,조천읍,다온팰리스아파트,63.68,3,2017,6.0,중개거래,23500,369.0326633165829
2023-01-17,2023,1,서귀포시,동홍동,센트럴팰리스,14.74,6,2018,5.0,중개거래,7100,481.6824966078697
2023-01-18,2023,1,제주시,일도이동,일도우성1,59.44,1,1995,28.0,중개거래,35000,588.8290713324361
2023-01-18,2023,1,제주시,애월읍,기룡비치하임,84.39,2,2016,7.0,중개거래,29000,343.64261168384877
2023-01-18,2023,1,제주시,애월읍,하귀푸르미르,84.8537,3,2022,1.0,직거래,32000,377.1196777512354
2023-01-18,2023,1,제주시,한림읍,한림대성유니크아파트2차,82.51,4,2017,6.0,중개거래,24000,290.8738334747303
2023-01-18,2023,1,서귀포시,하원동,서진,49.8737,4,2002,21.0,중개거래,12400,248.62803441493213
2023-01-18,2023,1,제주시,이도이동,석정시티빌,19.55,6,2011,12.0,중개거래,5900,301.7902813299233
2023-01-18,2023,1,제주시,일도이동,일도성환,59.965,5,1995,28.0,중개거래,27500,458.6008504961227
2023-01-18,2023,1,서귀포시,중문동,중문푸른마을,59.97,3,2003,20.0,중개거래,25850,431.0488577622144
2023-01-19,2023,1,서귀포시,동홍동,삼아,84.96,4,1991,32.0,중개거래,20500,241.29001883239172
2023-01-19,2023,1,제주시,도남동,화인퍼스트빌2차,84.805,4,2015,8.0,중개거래,34500,406.8156358705265
2023-01-20,2023,1,서귀포시,표선면,에이원시티빌,78.21,2,2017,6.0,중개거래,25500,326.04526275412354
2023-01-20,2023,1,제주시,이도일동,극동오벨리스크,84.89,8,2008,15.0,중개거래,26500,312.16868889150663
2023-01-20,2023,1,서귀포시,동홍동,주공2(동홍2),39.3,5,1990,33.0,중개거래,18500,470.73791348600514
2023-01-20,2023,1,제주시,노형동,부영5차,84.9508,4,2001,22.0,직거래,70000,824.0063660377537
2023-01-20,2023,1,제주시,애월읍,제주하귀휴먼시아1단지,84.84,11,2010,13.0,중개거래,50000,589.3446487505893
2023-01-20,2023,1,제주시,이도이동,이도한일베라체,84.67,4,2011,12.0,직거래,70200,829.1012164875399
2023-01-24,2023,1,제주시,조천읍,함덕해밀타운아파트,78.92,8,2018,5.0,직거래,30000,380.1317790167258
2023-01-25,2023,1,제주시,연동,연동아이진빌,23.37,5,2011,12.0,중개거래,6500,278.1343602909713
2023-01-25,2023,1,제주시,일도이동,기산,79.74,7,1997,26.0,중개거래,28000,351.14120892901934
2023-01-25,2023,1,제주시,노형동,부영2차,45.9078,8,2001,22.0,중개거래,32000,697.0493031685247
2023-01-25,2023,1,제주시,노형동,노형2차아이파크,115.1601,8,2014,9.0,중개거래,116000,1007.2933246845045
2023-01-26,2023,1,제주시,삼양이동,동명,84.878,1,1991,32.0,직거래,13500,159.05181554702042
2023-01-26,2023,1,제주시,노형동,탐라빌,59.58,3,2001,22.0,중개거래,22500,377.64350453172204
2023-01-26,2023,1,제주시,아라일동,아라아이파크,84.99,3,2013,10.0,중개거래,70000,823.6263089775268
2023-01-26,2023,1,제주시,월평동,제주첨단꿈에그린2단지아파트,84.7938,6,2017,6.0,중개거래,49000,577.872438786798
