날짜,가격_만원,전용면적_㎡,층,건축년도,단지명,도시,행정구역,년,월,만원_per_㎡,경과년수
2023-01-02,9400,40.2,5,2004,삼부장미주상,제주시,제주시,2023,1,233.83084577114425,19
2023-01-02,26200,84.7,7,2004,태성리치빌,제주시,제주시,2023,1,309.32703659976386,19
2023-01-02,50000,84.3616,4,2013,제주삼화사랑으로부영5차,제주시,제주시,2023,1,592.6867200242765,10
2023-01-02,12900,30.425,7,2016,삼양더힐링빌,제주시,제주시,2023,1,423.99342645850453,7
2023-01-03,18800,59.86,6,1995,노형영진1차,제주시,제주시,2023,1,314.06615436017375,28
2023-01-03,28000,84.387,3,2016,더힐누리안,서귀포시,서귀포시,2023,1,331.8046618554991,7
2023-01-03,34500,84.7081,2,2007,캐슬휘닉스,서귀포시,서귀포시,2023,1,407.28100382371935,16
2023-01-03,18800,59.86,6,1995,노형영진1차,제주시,제주시,2023,1,314.06615436017375,28
2023-01-04,27500,60.23,8,2018,골든타워2차,제주시,제주시,2023,1,456.5830981238586,5
2023-01-04,35000,84.65,7,2005,지산11차위더스빌,제주시,제주시,2023,1,413.4672179562906,18
2023-01-04,21000,46.74,8,2019,해밀마루,제주시,제주시,2023,1,449.29396662387677,4
2023-01-04,33000,84.6,6,2016,기룡비치하임,제주시,애월읍,2023,1,390.07092198581563,7
2023-01-04,22000,73.42,2,2017,함덕비치빌,제주시,제주시,2023,1,299.645873059112,6
2023-01-04,26500,78.68,2,2020,모다세인트빌,제주시,제주시,2023,1,336.80732079308586,3
2023-01-05,13900,84.55,3,2005,정광쉐르빌,제주시,제주시,2023,1,164.39976345357778,18
2023-01-05,16000,39.69,5,1988,주공1,서귀포시,서귀포시,2023,1,403.1242126480222,35
2023-01-06,22000,46.68,4,1988,주공1,서귀포시,서귀포시,2023,1,471.2939160239931,35
2023-01-06,57000,39.69,2,1989,주공3,제주시,제주시,2023,1,1436.130007558579,34
2023-01-06,50000,84.9297,6,2016,서귀포강정지구3블럭중흥에스-클래스,서귀포시,서귀포시,2023,1,588.7222020094266,7
2023-01-07,36500,84.3708,7,2013,지오빌Ⅱ-2차,서귀포시,서귀포시,2023,1,432.614127162478,10
2023-01-07,22500,51.88,2,2003,중문푸른마을,서귀포시,서귀포시,2023,1,433.69313801079414,20
2023-01-07,11000,59.08,4,1992,삼부,제주시,제주시,2023,1,186.18821936357483,31
2023-01-07,40500,84.82,3,2010,제주하귀휴먼시아1단지,제주시,애월읍,2023,1,477.481726008017,13
2023-01-09,16100,58.2203,1,2002,미듬하나로(도련),제주시,제주시,2023,1,276.5358474621395,21
2023-01-09,27500,65.865,3,2013,상지타운(B동),서귀포시,서귀포시,2023,1,417.52068625218254,10
2023-01-09,21000,79.0877,4,2003,흥남한아름,제주시,제주시,2023,1,265.52801510222196,20
2023-01-09,19500,67.04,1,1994,세기3차,제주시,제주시,2023,1,290.8711217183771,29
2023-01-09,17000,58.16,3,1995,삼오한마음,제주시,제주시,2023,1,292.2971114167813,28
2023-01-09,8164,35.94,3,2000,서홍반석타운,서귀포시,서귀포시,2023,1,227.15637173066222,23
2023-01-09,25800,59.97,4,2003,중문푸른마을,서귀포시,서귀포시,2023,1,430.2151075537769,20
2023-01-10,16900,73.2642,2,2003,동홍반석아르미,서귀포시,서귀포시,2023,1,230.67200624588816,20
2023-01-10,18800,39.69,5,1990,주공2(동홍2),서귀포시,서귀포시,2023,1,473.6709498614261,33
2023-01-10,16800,34.7519,8,2017,영도갤럭시타운,제주시,제주시,2023,1,483.4268054408536,6
2023-01-10,16900,84.93,5,1990,세기1(가나동),서귀포시,서귀포시,2023,1,198.98740138937947,33
2023-01-10,14200,69.69,4,1991,남양,제주시,제주시,2023,1,203.75950638542116,32
2023-01-10,48700,84.6,6,1998,화북주공1단지,제주시,제주시,2023,1,575.6501182033097,25
2023-01-10,11500,39.89,4,1993,수선화(81-7),제주시,제주시,2023,1,288.2928052143394,30
2023-01-11,20000,46.74,6,2019,해밀마루,제주시,제주시,2023,1,427.89901583226356,4
2023-01-11,19400,39.3,5,1990,주공2(동홍2),서귀포시,서귀포시,2023,1,493.63867684478373,33
2023-01-11,27000,83.58,4,2017,서홍예가,서귀포시,서귀포시,2023,1,323.0437903804738,6
2023-01-11,25300,84.94,6,2013,금강라이프빌2차,서귀포시,서귀포시,2023,1,297.8573110430892,10
2023-01-12,17700,84.82,3,2006,성우스위트,제주시,한림읍,2023,1,208.6771987738741,17
2023-01-12,29200,77.3462,5,2016,봉개갤럭시타운2차,제주시,제주시,2023,1,377.5233948144835,7
2023-01-12,38100,69.0372,10,2023,더펠리스10차,제주시,제주시,2023,1,551.8763796909492,0
2023-01-12,18000,84.52,4,2004,아모르빌3차,제주시,제주시,2023,1,212.9673450070989,19
2023-01-12,10000,61.74,3,1992,삼양대일(가동나동),제주시,제주시,2023,1,161.96954972465176,31
2023-01-12,46000,84.9789,5,2017,서귀포강정골드클래스,서귀포시,서귀포시,2023,1,541.3108430445676,6
2023-01-13,30000,84.9455,3,2017,서귀포화순코아루푸르나임,서귀포시,안덕면,2023,1,353.16761923821747,6
2023-01-13,17200,42.75,4,1984,유나이티드,제주시,제주시,2023,1,402.3391812865497,39
2023-01-13,36000,82.01,5,2019,동홍위더스빌31차,서귀포시,서귀포시,2023,1,438.970857212535,4
2023-01-13,8000,31.29,5,2014,해미소,제주시,제주시,2023,1,255.6727388942154,9
2023-01-13,26000,84.7421,2,2002,장원프라자,제주시,제주시,2023,1,306.8132604691175,21
2023-01-14,17500,39.69,5,1990,주공2(동홍2),서귀포시,서귀포시,2023,1,440.9171075837743,33
2023-01-14,36000,84.5939,3,2020,도련영도갤럭시타운,제주시,제주시,2023,1,425.5625996673519,3
2023-01-14,31400,84.9905,7,2019,포스트동홍1차,서귀포시,서귀포시,2023,1,369.45305651808144,4
2023-01-15,33500,84.99,2,2017,라스위트,제주시,제주시,2023,1,394.16401929638783,6
2023-01-15,25600,84.64,5,2012,용담이타스,제주시,제주시,2023,1,302.45746691871454,11
2023-01-16,13000,60.0,4,1996,남원에덴아파트,서귀포시,서귀포시,2023,1,216.66666666666666,27
2023-01-16,29300,84.42,6,2016,에스디빌101동,제주시,제주시,2023,1,347.0741530443023,7
2023-01-16,11500,49.8737,3,2002,서진,서귀포시,서귀포시,2023,1,230.58245127191284,21
2023-01-16,17500,59.975,7,2015,남건휴먼스3차,제주시,한림읍,2023,1,291.78824510212587,8
2023-01-16,14000,46.2,1,1995,미화2차,제주시,제주시,2023,1,303.030303030303,28
2023-01-17,18500,39.69,1,1988,주공1,서귀포시,서귀포시,2023,1,466.11237087427565,35
2023-01-17,25000,83.29,3,2006,신산스카이빌,제주시,제주시,2023,1,300.1560811622043,17
2023-01-17,42500,77.02,2,1995,일도2차대림,제주시,제주시,2023,1,551.8047260451831,28
2023-01-17,7100,14.74,6,2018,센트럴팰리스,서귀포시,서귀포시,2023,1,481.6824966078697,5
2023-01-17,22500,59.99,5,2003,중문푸른마을,서귀포시,서귀포시,2023,1,375.06251041840306,20
2023-01-17,37800,59.93,6,1998,"화북주공2,3단지",제주시,제주시,2023,1,630.7358585015852,25
2023-01-17,7000,49.29,3,1987,남양맨숀(A동),서귀포시,서귀포시,2023,1,142.01663623453032,36
2023-01-17,23500,63.68,3,2017,다온팰리스아파트,제주시,제주시,2023,1,369.0326633165829,6
2023-01-17,7100,14.74,6,2018,센트럴팰리스,서귀포시,서귀포시,2023,1,481.6824966078697,5
2023-01-18,35000,59.44,1,1995,일도우성1,제주시,제주시,2023,1,588.8290713324361,28
2023-01-18,29000,84.39,2,2016,기룡비치하임,제주시,애월읍,2023,1,343.64261168384877,7
2023-01-18,32000,84.8537,3,2022,하귀푸르미르,제주시,애월읍,2023,1,377.1196777512354,1
2023-01-18,24000,82.51,4,2017,한림대성유니크아파트2차,제주시,한림읍,2023,1,290.8738334747303,6
2023-01-18,12400,49.8737,4,2002,서진,서귀포시,서귀포시,2023,1,248.62803441493213,21
2023-01-18,5900,19.55,6,2011,석정시티빌,제주시,제주시,2023,1,301.7902813299233,12
2023-01-18,27500,59.965,5,1995,일도성환,제주시,제주시,2023,1,458.6008504961227,28
2023-01-18,25850,59.97,3,2003,중문푸른마을,서귀포시,서귀포시,2023,1,431.0488577622144,20
2023-01-19,20500,84.96,4,1991,삼아,서귀포시,서귀포시,2023,1,241.29001883239172,32
2023-01-19,34500,84.805,4,2015,화인퍼스트빌2차,제주시,제주시,2023,1,406.8156358705265,8
2023-01-20,25500,78.21,2,2017,에이원시티빌,서귀포시,서귀포시,2023,1,326.04526275412354,6
2023-01-20,26500,84.89,8,2008,극동오벨리스크,제주시,제주시,2023,1,312.16868889150663,15
2023-01-20,18500,39.3,5,1990,주공2(동홍2),서귀포시,서귀포시,2023,1,470.73791348600514,33
2023-01-20,70000,84.9508,4,2001,부영5차,제주시,제주시,2023,1,824.0063660377537,22
2023-01-20,50000,84.84,11,2010,제주하귀휴먼시아1단지,제주시,애월읍,2023,1,589.3446487505893,13
2023-01-20,70200,84.67,4,2011,이도한일베라체,제주시,제주시,2023,1,829.1012164875399,12
2023-01-24,30000,78.92,8,2018,함덕해밀타운아파트,제주시,제주시,2023,1,380.1317790167258,5
2023-01-25,6500,23.37,5,2011,연동아이진빌,제주시,제주시,2023,1,278.1343602909713,12
2023-01-25,28000,79.74,7,1997,기산,제주시,제주시,2023,1,351.14120892901934,26
2023-01-25,32000,45.9078,8,2001,부영2차,제주시,제주시,2023,1,697.0493031685247,22
2023-01-25,116000,115.1601,8,2014,노형2차아이파크,제주시,제주시,2023,1,1007.2933246845045,9
2023-01-26,13500,84.878,1,1991,동명,제주시,제주시,2023,1,159.05181554702042,32
2023-01-26,22500,59.58,3,2001,탐라빌,제주시,제주시,2023,1,377.64350453172204,22
2023-01-26,70000,84.99,3,2013,아라아이파크,제주시,제주시,2023,1,823.6263089775268,10
2023-01-26,49000,84.7938,6,2017,제주첨단꿈에그린2단지아파트,제주시,제주시,2023,1,577.872438786798,6
2023-01-26,35500,61.3849,2,2023,더펠리스10차,제주시,제주시,2023,1,578.3181205801427,0
2023-01-26,39200,55.07,4,1979,제원3차,제주시,제주시,2023,1,711.8213183221354,44
2023-01-26,36000,84.89,7,2018,이호재영샤르빌13차,제주시,제주시,2023,1,424.0782188714807,5
2023-01-27,39000,49.2072,12,2018,블루파크시티,제주시,제주시,2023,1,792.5669414232063,5
2023-01-27,31000,82.581,7,2017,성지휴캐슬,제주시,제주시,2023,1,375.38901200033905,6
2023-01-27,21400,51.88,3,2003,중문푸른마을,서귀포시,서귀포시,2023,1,412.49036237471086,20
2023-01-27,14000,81.03,4,1991,대림맨션,제주시,제주시,2023,1,172.77551524126866,32
2023-01-27,36000,59.8882,6,2021,동홍동센트레빌,서귀포시,서귀포시,2023,1,601.1200870956216,2
2023-01-27,25000,81.0695,2,2019,프리미엄성보파크,서귀포시,서귀포시,2023,1,308.37737990242937,4
2023-01-27,43500,77.02,2,1994,일도1차대림,제주시,제주시,2023,1,564.7883666580109,29
2023-01-27,18000,69.3757,4,2017,일이삼타운,제주시,제주시,2023,1,259.4568415165541,6
2023-01-27,27500,49.5,4,1998,화북주공4단지,제주시,제주시,2023,1,555.5555555555555,25
2023-01-27,40000,77.02,2,1994,일도1차대림,제주시,제주시,2023,1,519.3456245131135,29
2023-01-28,69500,84.9753,8,2019,도남해모로리치힐아파트,제주시,제주시,2023,1,817.8847265028778,4
2023-01-28,38500,84.94,7,2013,제주서귀포혁신도시엘에이치1단지,서귀포시,서귀포시,2023,1,453.2611255003532,10
2023-01-28,64500,84.95,3,2014,제주삼화엘에이치2단지,제주시,제주시,2023,1,759.27015891701,9
2023-01-28,37300,69.0372,8,2023,더펠리스10차,제주시,제주시,2023,1,540.2884242118741,0
2023-01-28,5600,15.2,7,2015,제이원타워,서귀포시,서귀포시,2023,1,368.42105263157896,8
2023-01-28,59500,84.991,5,2017,제주강정유승한내들퍼스트오션,서귀포시,서귀포시,2023,1,700.0741254956407,6
2023-01-28,24800,67.32,5,1991,용두암현대1,제주시,제주시,2023,1,368.38978015448606,32
2023-01-29,33500,84.9898,9,2013,해마루풍경101동,제주시,제주시,2023,1,394.16494685244584,10
2023-01-30,27000,59.933,10,2000,외도부영1차,제주시,제주시,2023,1,450.5030617522901,23
2023-01-30,28000,59.82,6,1995,혜성대유,제주시,제주시,2023,1,468.0708793045804,28
2023-01-30,40000,139.01,3,2007,핀크스,제주시,제주시,2023,1,287.7490827997986,16
2023-01-30,28000,84.41,4,2004,동서드림,제주시,제주시,2023,1,331.71425186589266,19
2023-01-30,28000,84.41,4,2004,동서드림,제주시,제주시,2023,1,331.71425186589266,19
2023-01-30,11000,27.68,6,2016,다온빌,서귀포시,서귀포시,2023,1,397.39884393063585,7
