월,행정구역,평균_만원_per_㎡,건수
2023-01-01,서귀포시,393.2882382514639,42
2023-01-01,안덕면,353.16761923821747,1
2023-01-01,애월읍,435.5319172359012,5
2023-01-01,제주시,449.35842002230936,87
2023-01-01,한림읍,287.76917412390657,4
2023-02-01,대정읍,365.0924508302909,1
2023-02-01,서귀포시,403.8706275363782,44
2023-02-01,안덕면,325.7526299140524,1
2023-02-01,애월읍,489.2892024361157,4
2023-02-01,제주시,463.74705066183566,90
2023-02-01,한림읍,194.04950035843183,5
2023-03-01,대정읍,312.3624955196078,4
2023-03-01,서귀포시,415.2070355071711,58
2023-03-01,안덕면,310.5928643892303,5
2023-03-01,애월읍,461.1309267337541,5
2023-03-01,제주시,451.05590269587293,113
2023-03-01,한림읍,275.1146310962901,1
2023-04-01,대정읍,329.8386146778183,1
2023-04-01,서귀포시,366.55187729139203,32
2023-04-01,안덕면,311.06176198906417,2
2023-04-01,애월읍,356.90094211520585,3
2023-04-01,제주시,482.0811321295281,132
2023-04-01,한림읍,268.63232893351903,3
2023-05-01,대정읍,300.2918326896531,4
2023-05-01,서귀포시,399.84479704025534,47
2023-05-01,안덕면,333.15478748138514,1
2023-05-01,애월읍,404.2229874718309,4
2023-05-01,제주시,521.9598904147348,131
2023-05-01,한림읍,357.9110081565795,5
2023-06-01,대정읍,332.5748293366007,2
2023-06-01,서귀포시,442.8338342403301,45
2023-06-01,애월읍,478.58503052899397,5
2023-06-01,제주시,470.5653215648964,127
2023-06-01,한경면,282.9292775216379,1
2023-06-01,한림읍,297.4926614739404,4
2023-07-01,대정읍,317.6764605350378,2
2023-07-01,서귀포시,420.3373343657219,48
2023-07-01,안덕면,334.1433542787869,2
2023-07-01,애월읍,464.2837961739094,6
2023-07-01,제주시,477.71164537716356,122
2023-07-01,한림읍,356.0356619067108,4
2023-08-01,대정읍,306.3922179423552,2
2023-08-01,서귀포시,426.6838114876288,54
2023-08-01,안덕면,309.18625785969994,5
2023-08-01,애월읍,490.6944893881669,8
2023-08-01,제주시,499.30491763512885,152
2023-08-01,한경면,366.45070505115655,1
2023-08-01,한림읍,335.9215531354977,2
2023-09-01,대정읍,382.20328955153235,1
2023-09-01,서귀포시,415.2784597450218,40
2023-09-01,안덕면,302.2708861067645,2
2023-09-01,제주시,472.6330348103437,123
2023-09-01,한림읍,310.02830135824047,8
2023-10-01,대정읍,270.52128241504136,2
2023-10-01,서귀포시,413.73347842377206,55
2023-10-01,애월읍,508.14447592067984,2
2023-10-01,제주시,460.01688656362455,142
2023-10-01,한림읍,317.65490676828483,1
2023-11-01,대정읍,205.29758661475728,2
2023-11-01,서귀포시,384.884048048296,45
2023-11-01,안덕면,324.9694850855407,4
2023-11-01,애월읍,518.3788702962113,4
2023-11-01,제주시,468.91792502694926,150
2023-11-01,한림읍,266.4406200847314,5
2023-12-01,대정읍,306.7817536230119,2
2023-12-01,서귀포시,385.89271110217754,50
2023-12-01,안덕면,327.80583517969774,1
2023-12-01,애월읍,446.81862032366956,8
2023-12-01,제주시,495.8782508968551,117
2023-12-01,한림읍,319.8673142992537,1
2024-01-01,대정읍,281.8908314815629,3
2024-01-01,서귀포시,374.0326401135267,59
2024-01-01,안덕면,333.72988326522574,3
2024-01-01,애월읍,452.6726944955091,5
2024-01-01,제주시,474.69396843781936,155
2024-01-01,한림읍,353.2778294610158,1
2024-02-01,대정읍,277.00694249577657,5
2024-02-01,서귀포시,401.3580554300183,61
2024-02-01,안덕면,294.15623144618024,2
2024-02-01,애월읍,438.7403441427105,3
2024-02-01,제주시,494.6178233962677,116
2024-02-01,한림읍,304.302752724699,2
2024-03-01,대정읍,330.580175875177,2
2024-03-01,서귀포시,392.3876321672938,45
2024-03-01,안덕면,320.29392041752465,3
2024-03-01,애월읍,475.9582847381981,11
2024-03-01,제주시,441.24207595785384,131
2024-03-01,한림읍,364.84624856135935,3
2024-04-01,대정읍,168.97202574427558,2
2024-04-01,서귀포시,388.4493582437063,51
2024-04-01,애월읍,547.8861610798772,6
2024-04-01,제주시,513.6067087510328,131
2024-04-01,한림읍,158.73015873015873,1
2024-05-01,서귀포시,379.9296684891519,57
2024-05-01,안덕면,412.0288891112537,1
2024-05-01,애월읍,415.980097592976,10
2024-05-01,제주시,514.6309400640401,100
2024-05-01,한림읍,200.70245860511793,1
2024-06-01,대정읍,475.34545255195746,5
2024-06-01,서귀포시,440.73772265380404,65
2024-06-01,안덕면,341.58215262431605,3
2024-06-01,애월읍,492.72093604235715,5
2024-06-01,제주시,504.8698599343126,120
2024-06-01,한림읍,317.07456125219755,2
2024-07-01,대정읍,431.14884784882156,4
2024-07-01,서귀포시,369.67407400350174,59
2024-07-01,안덕면,350.0516941225544,3
2024-07-01,애월읍,424.4961185459464,5
2024-07-01,제주시,498.3231116754312,134
2024-07-01,한림읍,297.9608822305451,1
2024-08-01,서귀포시,428.6993784631232,58
2024-08-01,안덕면,365.2098564366411,2
2024-08-01,애월읍,565.2325424541131,6
2024-08-01,제주시,502.9814585056555,123
2024-08-01,한림읍,296.3119454086404,2
2024-09-01,대정읍,228.94187606690525,2
2024-09-01,서귀포시,387.6491948293948,44
2024-09-01,애월읍,361.1025300322516,4
2024-09-01,제주시,444.7620498453355,151
2024-09-01,한림읍,373.4508120972745,1
2024-10-01,대정읍,234.12052117263843,2
2024-10-01,서귀포시,392.62810099204717,100
2024-10-01,안덕면,358.1708271774255,2
2024-10-01,애월읍,470.77558446971403,8
2024-10-01,제주시,495.5837959706327,161
2024-10-01,한림읍,254.25877254412075,2
2024-11-01,서귀포시,438.05177471372184,55
2024-11-01,애월읍,471.49076365840307,7
2024-11-01,제주시,501.82974687130695,154
2024-11-01,한림읍,331.4481464409861,2
2024-12-01,서귀포시,416.34619154625165,37
2024-12-01,애월읍,533.5539251124395,3
2024-12-01,제주시,499.44268720945615,146
2024-12-01,한림읍,321.79118322293857,2
2025-01-01,서귀포시,399.0099483370892,31
2025-01-01,애월읍,397.6052476610482,2
2025-01-01,제주시,452.6353256536886,115
2025-01-01,한림읍,228.26709572999263,3
2025-02-01,대정읍,304.33548417747687,4
2025-02-01,서귀포시,378.40325573954186,39
2025-02-01,안덕면,294.8324526678956,1
2025-02-01,애월읍,480.9329048971522,3
2025-02-01,제주시,457.25664056904037,146
2025-02-01,한림읍,316.3196442329209,3
2025-03-01,대정읍,454.21009859068744,2
2025-03-01,서귀포시,421.00385326833714,49
2025-03-01,안덕면,321.23735871505056,2
2025-03-01,애월읍,400.2766879271982,4
2025-03-01,제주시,501.5882959562133,160
2025-03-01,한림읍,302.8903268763171,7
2025-04-01,대정읍,297.35750417450777,4
2025-04-01,서귀포시,398.45499415076966,46
2025-04-01,안덕면,305.06584174502655,2
2025-04-01,애월읍,502.7280355288326,3
2025-04-01,제주시,485.0174572761766,145
2025-04-01,한림읍,333.76694810092096,4
2025-05-01,대정읍,391.71953851063,2
2025-05-01,서귀포시,424.811960850441,47
2025-05-01,안덕면,329.62311128900296,1
2025-05-01,애월읍,457.81956462402604,8
2025-05-01,제주시,484.5708160990129,144
2025-06-01,대정읍,327.1931605271463,3
2025-06-01,서귀포시,380.38421650638674,43
2025-06-01,안덕면,256.9640642518356,1
2025-06-01,애월읍,474.5164878930118,4
2025-06-01,제주시,513.5230604990968,146
2025-06-01,한림읍,326.6262240518297,2
2025-07-01,대정읍,241.72005864148815,2
2025-07-01,서귀포시,416.0951122777109,45
2025-07-01,안덕면,343.7498160585317,1
2025-07-01,애월읍,481.12947592293887,4
2025-07-01,제주시,510.2535410080773,107
2025-07-01,한림읍,341.1848998622319,1
2025-08-01,서귀포시,432.48399535649816,21
2025-08-01,애월읍,262.8818059502102,1
2025-08-01,제주시,509.60565868238666,46
