"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-01-01 ~ 2025-08-20"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 제주특별자치도"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 0 ~ 100000000000 만원"
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","동","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"1","제주특별자치도 서귀포시 중문동","2365","2365","0000","상지타운(B동)","84.4100","202508","19","29,500","-","5","개인","개인","2013","천제연로178번길 37","-","중개거래","제주 서귀포시","-"
"2","제주특별자치도 서귀포시 동홍동","179","0179","0000","제이원타워","15.2000","202508","19","4,500","-","4","개인","개인","2015","태평로 509","-","중개거래","제주 서귀포시","-"
"3","제주특별자치도 서귀포시 법환동","736-7","0736","0007","제주오션스카이","65.3900","202508","18","19,500","-","7","개인","개인","2017","김정문화로41번길 26","-","중개거래","제주 서귀포시","-"
"4","제주특별자치도 제주시 노형동","754-4","0754","0004","부영2차","45.9078","202508","17","35,500","-","6","개인","개인","2001","과원로 11","-","중개거래","제주 제주시","-"
"5","제주특별자치도 제주시 외도일동","486-5","0486","0005","비치나빌리지","84.9700","202508","16","19,500","-","3","개인","개인","2020","우령서로 45","-","직거래","-","-"
"6","제주특별자치도 제주시 노형동","754-4","0754","0004","부영2차","45.9078","202508","16","34,500","-","6","개인","개인","2001","과원로 11","-","중개거래","제주 제주시","-"
"7","제주특별자치도 제주시 조천읍 조천리","1361-3","1361","0003","대진유토피아빌리지(3차)","66.1500","202508","15","16,300","-","2","개인","개인","2017","조천14길 24","-","중개거래","제주 제주시","-"
"8","제주특별자치도 제주시 노형동","920-12","0920","0012","경진아트빌","16.3125","202508","14","4,900","-","8","개인","개인","2011","원노형2길 36","-","중개거래","제주 제주시","-"
"9","제주특별자치도 서귀포시 서호동","1545","1545","0000","HausD블루오션","84.9400","202508","14","45,000","-","6","개인","개인","2015","서호남로 92-16","-","중개거래","제주 서귀포시","-"
"10","제주특별자치도 제주시 일도이동","151-15","0151","0015","대원상록수","53.3000","202508","14","10,500","-","2","개인","개인","1994","고마로3길 32","-","중개거래","제주 제주시","-"
"11","제주특별자치도 서귀포시 강정동","195","0195","0000","서귀포강정지구3블럭중흥에스-클래스","84.9297","202508","14","48,700","-","7","개인","개인","2016","대청로 12","-","중개거래","제주 서귀포시","-"
"12","제주특별자치도 제주시 도련이동","548","0548","0000","제주삼화사랑으로부영1차","73.9049","202508","13","46,500","-","12","개인","개인","2013","화삼북로 136","-","중개거래","제주 제주시","-"
"13","제주특별자치도 서귀포시 동홍동","1674","1674","0000","주공5차(동홍5차)","49.8700","202508","12","21,700","-","2","개인","개인","1999","중산간동로 8002","-","중개거래","제주 서귀포시","-"
"14","제주특별자치도 제주시 애월읍 애월리","1622","1622","0000","혁승애월다움","83.6878","202508","12","22,000","-","6","개인","개인","2017","애원로 11","-","중개거래","제주 제주시","-"
"15","제주특별자치도 제주시 외도일동","529-1","0529","0001","해밀마루","46.7400","202508","12","19,200","-","4","개인","개인","2019","우정로15길 48","-","중개거래","제주 제주시","-"
"16","제주특별자치도 제주시 노형동","753-1","0753","0001","중흥에스클래스","59.9570","202508","12","58,350","-","9","개인","개인","2002","한라대학로 107","-","중개거래","제주 제주시","-"
"17","제주특별자치도 제주시 연동","1399","1399","0000","대림이편한세상1차","59.9530","202508","12","56,000","-","5","개인","개인","2001","국기로 14","-","중개거래","제주 제주시","-"
"18","제주특별자치도 제주시 연동","290-4","0290","0004","이레빌","22.7500","202508","11","5,200","-","3","개인","개인","2012","신광로1길 6","-","중개거래","제주 제주시","-"
"19","제주특별자치도 제주시 연동","1964-3","1964","0003","펠리체","84.7799","202508","11","44,000","-","11","개인","개인","2012","도령로 73","-","중개거래","제주 제주시","-"
